ICAO	Airline	CALL SIGN	Country
MTC	Mountain Air Company	MOUNTAIN LEONE	Sierra Leone
MTE		CITURS	
MTF		INTERJET	
MTH	Massachusetts Institute of Technology	RESEARCH	United States
MTI	Monerrey Air Taxi	MONTERREY AIR	Mexico
MTJ	Metrojet	METROJET	Hong Kong
MTK	Air Metack	AIRMETACK	Angola
MTL	RAF-Avia	MITAVIA	Latvia
MTM		AVITRANS	
MTN	Mountain Air Cargo	MOUNTAIN	United States
MTO	Manitoulin Air Services	MANITOULIN	Canada
MTP	Island Helicopters	METROCOPTER	United States
MTQ		AIR MARTINIQUE	
MTR	Metroflight	METRO	United States
MTS	Mantrust Asahi Airways	MANTRUST	Indonesia
MTT		BLUE MAST	
MTV	Mountain Valley Air Service	MOUNTAIN VALLEY	United States
MTW		MAURITANIA AIRWAYS	
MTX	Multi Taxi	MULTITAXI	Mexico
MTY		MONTY	
MTZ	Mali Airways	MALI AIRWAYS	Mali
MUA	Murray Air	MURRAY AIR	United States
MUC		AIR MUNICH	
MUG		MUGGAN	
MUI	Trans Air	MAUI	United States
MUK		MUKAIR	
MUL	Mokulele Airlines	MUKULELE	United States
MUN	Aeromundo Ejecutivo	AEROMUNDO	Mexico
MUR	Aerolínea Muri	MURI	Mexico
MUT		MULTIAERONAUTICO	
MVA	Mississippi Valley Airways	VALAIR	United States
MVD	Kavminvodyavia	AIR MINVODY	Russia
MVG	Moldova	MOLDOVA-STATE	Moldova
MVJ		MIRA VISTA	
MVK	Helicopter Training & Hire	MAVRIK	United Kingdom
MVL	Mavial Magadan Airlines	MAVIAL	Russia
MVM	Air Cargo America	PEGASUS	United States
MVN	Marvin Limited	MARVIN	United Kingdom
MVP		ALL STAR	
MVR	Maverick Airways	MAV-AIR	United States
MVS		AIR SENOK	
MWG	MASwings	MASWINGS	Malaysia
MWI	Malawian Airlines 2014	MALAWIAN	Malawi
MWL		MIDWEST AIRLINK	
MWM	Modern Transporte Aereo De Carga	MODERN AIR	Brazil
MWN		MAX NIGER	
MWR	Raslan Air Service	RASLAN	Egypt
MWS	Malta Wings	MALTA WINGS	Malta
MWT	Midwest Aviation Division	MIDWEST	United States
MWY	Mauritanienne Airways	MAURITANIENNE	Mauritania
MXA	Mexicana de Aviación	MEXICANA	Mexico
MXB	Mex Blue	MEX BLUE	Mexico
MXC	Compania Mexicargo	MEXICARGO	Mexico
MXD	Malindo Airways	MALINDO EXPRESS	Malaysia
MXE	Mocambique Expresso	MOZAMBIQUE EXPRESS	Mozambique
MXF	Maximum Flight Advantages	MAXFLIGHT	United States
MXG		MAXIG	
MXL	Maxair	MAXAIR	Sweden
MXM		MAXLINES	
MXO	Aerotaxi Mexicano	MAXAERO	Mexico
MXP	May Air Xpress	BEECHNUT	United States
MXQ	Transportes Aéreos Mexiquenses	MEXIQUENSES	Mexico
MXR		MAXIN AIR	
MXS	Maxsus-Avia	MAXSUS-AVIA	Uzbekistan
MXS	Millon Express	MILLON EXPRESS	United States
MXT	México Transportes Aéreos	TRANSMEX	Mexico
MXU	Maximus Air Cargo	CARGO MAX	United Arab Emirates
MXX	Merchant Express Aviation	MERCHANT	Nigeria
MXY		MYJET	
MYA	Myflug	MYFLUG	Iceland
MYB		DELMAYAB	
MYD	Maya Island Air	MYLAND	Belize
MYE		DELMAYAB	
MYF		MY FLIGHT	
MYI	Mayair	MAYAIR	Mexico
MYK		MYLIN	
MYL		AEROMYL	
MYN		MAYAN WORLD	
MYO	Dominguez Toledo (Grupo Mayoral)	MAYORAL	Spain
MYP	Mann Yadanarpon Airlines	MANN ROYAL	Myanmar
MYR		MIRIADAIR	
MYS	Aero Yaqui Mayo	AERO YAQUI	Mexico
MYT		KESTREL	
MYU		INDO	
MYV		LINEAS MAYAB	
MYW	MyWay Airlines	MYSKY	Georgia
MYX	Smartlynx Airlines Estonia	TALLINN CAT	Estonia
MZA	Irtysh Air	IRTYSH AIRLINES	Kazakhstan
MZL	Aerovías Montes Azules	MONTES AZULES	Mexico
MZS	Mahfooz Aviation	MAHFOOZ	Gambia
MZT		ZHONG TAI	
NAA	Norwegian Air Argentina	NORUEGA	Argentina
NAB		NIGER CARGO	
NAC	Northern Air Cargo	YUKON	United States
NAD	Seulawah Nad Air	SEULAWAH	Indonesia
NAE	Nations Air Express Inc	NATIONS EXPRESS	United States
NAF	Royal Netherlands Air Force	NETHERLANDS AIR FORCE	Netherlands
NAG		STARDUST	
NAH	Nahanni Air Services Ltd	NAHANNI	Canada
NAI	North Adria Aviation	NORTH-ADRIA	Croatia
NAJ	North American Jet Charter Group	JET GROUP	United States
NAK	École Nationale de l'Aviation Civile	ENAC SCHOOL	France
NAL	Northway Aviation Ltd	NORTHWAY	Canada
NAM	Nortland Air Manitoba	MANITOBA	Canada
NAN	Norwegian Air Norway	NORSHIP	Norway
NAO	North American Airlines	NORTH AMERICAN	United States
NAP	Napier Air Service Inc	NAPIER	United States
NAR	Air Continental Inc	NIGHT AIR	United States
NAS	Nasair	NASAIRWAYS	Eritrea
NAT	North Atlantic Air Inc	MASS AIR	United States
NAU	Antanik-Air	ANTANIK	Ukraine
NAU	Danaus Lineas Aereas	DANAUS	Mexico
NAV	Nav Flight Planning	NAV DISPATCH	Czech Republic
NAW		NEWDAN	
NAX	Norwegian Air Shuttle	NOR SHUTTLE	Norway
NAY	Navegación Servicios Aéreos Canarios S.A.	NAYSA	Spain
NAZ	Servicios Aéreos del Nazas S.A. de C.V.	NAZAS	Mexico
NBA		NEBA	
NBE	Novosibirsk Aviaenterprise	NAKAIR	Russia
NBK	Albarka Air	AL-AIR	Nigeria
NBL	Nobil Air	NOBIL AIR	Moldova
NBN	North British Airlines	TEESAIR	United Kingdom
NBR	Haughey Air	NORBROOK	United Kingdom
NBS	Nimbus Aviation	NIMBUS	United Kingdom
NCA	Nippon Cargo Airlines	NIPPON CARGO	Japan
NCB	North Caribou Flying Service Ltd	NORTH CARIBOU	Canada
NCC	North Coast Air Services Ltd	NORTH COAST	Canada
NCE	Northcoast Executive Airlines	TOP HAT	United States
NCF	Norfolk County Flight College	COUNTY	United Kingdom
NCG	Nederlandse Kustwacht	NETHERLANDS COASTGUARD	Netherlands
NCH	Chanchangi Airlines	CHANCHANGI	Nigeria
NCJ		NORTH CENTRAL	
NCL	ACA-Ancargo Air Sociedade de Transporte de Carga Lda	ANCARGO AIR	Angola
NCM	Nas Air	AIR BANE	Angola
NCN		NATIONAL	
NCO	Natalco Air Lines	NATALCO	São Tomé and Príncipe
NCP	Capital Airlines Limited	CAPITAL SHUTTLE	Nigeria
NCR	National Air Cargo dba National Airlines	NATIONAL CARGO	United States
NCS	Simpson Air Ltd	COMMUTER-CANADA	Canada
NCT	NokScoot	BIG BIRD	Thailand
NCT	Pete Air	PETE AIR	Thailand
NCY		HERMES	
NDA	Northern Airways	NORTHERN DAKOTA	United States
NDC		NORDIC	
NDD		NORDEND	
NDF	Namibian Defence Force	NAMIBIAN AIR FORCE	Namibia
NDJ		BASSAMAT	
NDL		NEEDLE	
NDM		NADYM	
NDN		ANDINAS	
NDR		ANDESMAR	
NDT		N_D AEROTAXIS	
NDU	University of North Dakota	SIOUX	United States
NDX		NORDEX	
NEA	New England Airlines	NEW ENGLAND	United States
NEB	State of Nebraska	NEBRASKA	United States
NEC	Necon Air	NECON AIR	Nepal
NEE	Northeast Airlines	NORTHEAST	United States
NEF	Nord-Flyg	NORDEX	Sweden
NEG	Línea Aérea de Fumig Aguas Negras	AGUAS NEGRAS	Chile
NEJ	Netjets Business Aviation	NET BUSINESS	China
NEL	Aero Servicios de Nuevo Laredo	AEROLAREDO	Mexico
NEN	North-East Airlines	NORTHEAST SWAN	Nigeria
NEP		WARISAN	
NEQ		NEUQUINOS	
NER	Air Newark	NEWAIR	United States
NES	Nordeste Linhas Aéreas Regionais	NORDESTE	Brazil
NET	Network Aviation Services	NETWORK	Nigeria
NEW	Northeastern Aviation	MEADOW FLIGHT	United States
NEX	Northern Executive Aviation	NEATAX	United Kingdom
NEY		NORTHJET	
NEZ	New England Air Express	ENGAIR	United States
NFA	North Flying	NORTH FLYING	Denmark
NFC	North Atlantic Cargo	NORTH ATLANTIC	Norway
NFD		FLAMINGO	
NFE		NORDIC BLUE	
NFG		NIGHTFLIGHT	
NFL	Northaire Freight Lines	GREAT LAKES	United States
NFT	Nefteyugansk Aviation Division	NEFTEAVIA	Russia
NFY		NOALUX	
NGA	Nigeria Airways	NIGERIA	Nigeria
NGB		NORDIC GLOBAL	
NGC	Angoservice	ANGOSERVICE	Angola
NGE		ANGEL AIR	
NGF	Air Charity Network	ANGEL FLIGHT	United States
NGG		AIR GROUP	
NGI		AIR GLOBAL	
NGK	Oriental Air Bridge	ORIENTAL BRIDGE	Japan
NGL		MAXAIR NIGERIA	
NGO	Air-Angol	AIR ANGOL	Angola
NGP		REGAL EAGLE	
NGR	Nigerian Air Force	NIGERIAN AIRFORCE	Nigeria
NGS		NAGESA	
NGT		NIKA	
NGV	Angoavia	ANGOAVIA	Angola
NGX	Nigerian Global	AIR GLOBAL	Nigeria
NHA		SHUTTLEFLIGHT	
NHC	Northern Helicopter	NORTHERN	Germany
NHE		NORD	
NHG	NHT Linhas Aéreas	HELGA	Brazil
NHK	Federal Aviation Administration	NIGHTHAWK	United States
NHL	Northumbria Helicopters	NORTHUMBRIA	United Kingdom
NHR	Nuevo Horizonte Internacional	NUEVO HORIZONTE	Mexico
NHT	New Heights 291	NEWHEIGHTS	South Africa
NHX		EVO	
NHZ	Nada Air Service	NADA AIR	Chad
NIA		NILE BIRD	
NIC	Northern Illinois Commuter	ILLINOIS COMMUTER	United States
NID	Aeroni	AERONI	Mexico
NIE	Aeroejecutiva Nieto	AERONIETO	Mexico
NIG	Aero Contractors	AEROLINE	Nigeria
NIH	NAM Air	NAM	Indonesia
NII		NIIS-AVIA	
NIK		NIK AIR	
NIM		NIMJET	
NIN	Niger Airlines	NIGER AIRLINES	Niger
NIN	Nurman Avia Indopura	NURVINDO	Indonesia
NIR	Norsk Flytjeneste	NORSEMAN	Norway
NIS	Nicaragüense de Aviación	NICA	Nicaragua
NIT	Midwest Aviation	NIGHTTRAIN	United States
NIU		NIUE	
NJA	New Japan Aviation	SHIN NIHON	Japan
NJC	Nashville Jet Charters	NASHVILLE JET	United States
NJE	NetJets Europe	FRACTION	Portugal
NJF		SUNJET	
NJR		NORJET	
NJS	National Jet Systems	NATIONAL JET	Australia
NJT		NETJET	
NKA		ANKA CARGO	
NKE		SUN EAST	
NKF	Barents AirLink	NORDFLIGHT	Sweden
NKH		HELINOR	
NKK		ANK AIR	
NKL	Nakheel Aviation	NAKHEEL	United Arab Emirates
NKP	Abakan Air	ABAKAN AIR	Russian Federation
NKS	Spirit Airlines	SPIRIT WINGS	United States
NKT		SHUTTLEFLIGHT	
NKV	Nikolaev-Air	AIR NIKOLAEV	Ukraine
NKY	Aeromonkey	AEROMON	Mexico
NKZ	Aerokuzbass	NOVOKUZNETSK	Russia
NLA	Neiltown Air	NEILTOWN AIR	Canada
NLC	Nelair Charters	NELAIR	South Africa
NLD		NOVEMBER JULIETT	
NLE		NELLIE	
NLF		NORTHERN LIFE	
NLG	NEL Cargo	NELCARGO	Ivory Coast
NLH	Norwegian Long Haul	NORSTAR	Norway
NLI		NORTH LINK	
NLK	Elbrus-Avia Air Enterprise	ELAVIA	Russia
NLL	Northafrican Air Transport	NORTHAFRICAN AIR	Libya
NLM		CITY	
NLP		NORAV	
NLS	Nationale Luchtvaartschool	PANDER	Netherlands
NLT	Newfoundland Labrador Air Transport	NALAIR	Canada
NLU		INSEL ARUBA	
NLV		SEAGULL	
NLW	Nile Wings Aviation Services	NILE WINGS	Sudan
NLY	Niki	FLYNIKI	Austria
NLY	Niki	NIKI	Austria
NMA		NESMA	
NMB	Air Namibia	NAMIBIA	Namibia
NMD	Nomad Aviation	NOMAD AIR	Namibia
NMG		TIANJIAO AIR	
NMI	Pacific Wings	TSUNAMI	United States
NML	Gambia New Millennium Air	NEWMILL	Gambia
NMR		E-MED	
NOA	Norontair	NORONTAIR	Canada
NOB		SWEDLINE	
NOC	Norcopter	NORCOPTER	Norway
NOD		ADJARA	
NOE		FRENCH HOPPER	
NOF	Fonnafly	FONNA	Norway
NOH	No. 32 (The Royal) Squadron	NORTHOLT	United Kingdom
NOJ		NOVAJET	
NOK	Nok Air	NOK AIR	Thailand
NOL	National Overseas Airlines Company	NAT AIRLINE	Egypt
NOM		MADON	
NON	Servicios Aéreos Latinoamericanos	SERVICIOS LATINO	Mexico
NOO		MIDNIGHT	
NOP		NOVAIR	
NOR	Norsk Helikopter	NORSKE	Norway
NOS	Neos	MOONFLOWER	Italy
NOT	Línea Aérea Costa Norte	COSTA NORTE	Chile
NOV	Nova Airline	NOVANILE	Sudan
NOW	Royal Norwegian Air Force	NORWEGIAN	Norway
NOX		NORTH EXPRESS	
NOY	Noy Aviation	NOY AVIATION	Israel
NPC	Western Air Couriers	NORPAC	United States
NPL		AIR NEPAL	
NPO	Novosibirsk Aviation Production Association	NOVSIB	Russia
NPP		MIR SCIENTIFIC	
NPR		AIR NAPIER	
NPT	Atlantic Airlines	NEPTUNE	United Kingdom
NPX	Northeast Aviation	NORTHEAST EXPRESS	United States
NQN		TANEU	
NRA		AIRNOAR	
NRC	North Sea Airways	NORTH SEA	Netherlands
NRD	Nordic Regional	NORTH RIDER	Sweden
NRE	Aviones Are	AVIONES ARE	Mexico
NRG	Ross Aviation	ENERGY	United States
NRK	Naturelink Charter	NATURELINK	South Africa
NRL	Nolinor Aviation	NOLINOR	Canada
NRN	Royal Netherland Navy	NETHERLANDS NAVY	Netherlands
NRO		AEROMASTER	
NRP	Aeronord-Grup	AERONORD	Moldova
NRR	Natureair	NATUREAIR	Costa Rica
NRS	Norwegian Air UK	REDNOSE	United Kingdom
NRT	Norestair	NORESTAIR	Spain
NRV	North Vancouver Airlines	NORVAN	Canada
NRW	Polizeifliegerstaffel Nordrhein-Westfalen	HUMMEL	Germany
NRX	Norse Air Charter	NORSE AIR	South Africa
NRZ	Servicios Aéreos Monarrez	MONARREZ	Mexico
NSA	Nile Safaris Aviation	NILE SAFARIS	Sudan
NSC	Societe De Transport Aerien De Mauritanie	TRANS-SOCIETE	Mauritania
NSE	SATENA	SATENA	Colombia
NSF	Northamptonshire School of Flying	NORTON	United Kingdom
NSH		NORTH-SHORE	
NSI		NORTHERN SKIES	
NSJ		NANSHAN	
NSK	Air Intersalonika	INTERSALONIKA	Greece
NSL	Neric	NERICAIR	United Kingdom
NSM	Global Jet Corporation	THUNDERCLOUD	United States
NSO	Aerolíneas Sosa	SOSA	Honduras
NSP	Novosibirsk Aircraft Repairing Plant	NARPAIR	Russia
NSR	National Air Charter	NASAIR	Indonesia
NSR	Nine Star Airways	AIR STAR	Thailand
NSS	Northstar Aviation	NORTHSTAR	United States
NST		AVINORESTE	
NSW	Norwegian Air Sweden	NORDIC	Sweden
NSY		QUNYING	
NTA	Northern Thunderbird Air	THUNDERBIRD	Canada
NTB	Servicios Aéreos Del Norte	SERVINORTE	Mexico
NTC	Gibson Aviation	NIGHT CHASE	United States
NTE	Interaire	INTERMEX	Mexico
NTF		NETFLIGHT	
NTG	Servicios Integrales De Aviación	INTEGRALES	Mexico
NTH	Hokkaido Air System	NORTH AIR	Japan
NTI		CONTINENTE	
NTJ	NextJet	NEXTJET	Sweden
NTK	National Air Traffic Controllers Association	NATCA	United States
NTL		AIR ANATOLIA	
NTM		NORTHAM	
NTN		NATCHAIR	
NTO		CENTROAERO	
NTP		NISTRANSAIR	
NTR	TNT International Aviation	NITRO	United Kingdom
NTS	Cirrus Air	NITE STAR	United States
NTT	Inter Tropic Airlines	INTER-TROPIC	Sierra Leone
NTU		CENTURION	
NTV	Air Inter Ivoire	INTER-IVOIRE	Ivory Coast
NTW	Nationwide Airlines	NATIONWIDE	South Africa
NTX	Northern Jet Management	NORTAX	United States
NUB	Nomad Aviation	VALLETTA	Malta
NUK		NANUCK	
NUL	Aeroservicios De Nuevo Leon	SERVICIOS NUEVOLEON	Mexico
NUM		BULLY	
NUN	Nunasi-Central Airlines	NUNASI	Canada
NUR		AVIA NUR	
NUS		ENJET	
NVC	Nav Canada	NAV CAN	Canada
NVD	Avion Express	NORDVIND	Lithuania
NVG	Novogorod Air Enterprise	SADKO AVIA	Russia
NVI	Avial NV Aviation Company	NEW AVIAL	Russia
NVJ	Fly International Airways	NOUVINTER	Tunisia
NVK	Nizhnevartovskavia	VARTOSKAVIA	Russia
NVL	Navigator Airlines	NAVLINES	Armenia
NVM	Naviera Mexicana	NAVIERA	Mexico
NVO		ENVUELO	
NVQ	Novo Air	NOVO AIR	Bangladesh
NVR	Novair	NAVIGATOR	Sweden
NVS		NOUVELLE AFFAIRES	
NVT		NATIVE	
NVY	Royal Navy	NAVY	United Kingdom
NWA		NORTHWEST	
NWC		NEWFLIGHT	
NWD	New World Jet Corporation	NEW WORLD	United States
NWF		SECOND CITY	
NWG	Airwing	NORWING	Norway
NWK		NETLINK	
NWL	North-Wright Airways	NORTHWRIGHT	Canada
NWN	Northwinds Northern	NORTHWINDS	Canada
NWS	Nordwind Airlines	NORDLAND	Russia
NWT	Northwest Territorial Airways	TERRITORIAL	Canada
NWW	North West Airlines	HALANT	Australia
NWX		NOW FLIGHT	
NWZ	Nationwide Airlines (Zambia)	ZAMNAT	Zambia
NXA	Air Next	BLUE-DOLPHIN	Japan
NXF	Nextflight Aviation	NEXTFLIGHT	United States
NXN		NEXTON	
NXS	Nexus Aviation	NEXUS AVIATION	Nigeria
NXT	National Express	NATIONAL FREIGHT	United States
NXU		NEXUS	
NYA	Nanyah Aviation	NANYAH	Israel
NYB	Belgian Navy	BELGIAN NAVY	Belgium
NYG		NYGE	
NYH	New York Helicopter	NEW YORK	United States
NYL	Mid Airlines	NILE	Sudan
NYS	Nyasa Express	NYASA	Malawi
NYT	Yeti Airlines	YETI AIRLINES	Nepal
NYX		NYX AIR	
NZA		NAYZAK AIR	
NZE		ZENITH AIR	
NZM	Mount Cook Airline	MOUNTCOOK	New Zealand
NZP		ORBITA	
NZR		NURIK	
OAC	Oriental Airlines	ORIENTAL AIR	Nigeria
OAD	Orscom Tourist Installations Company	ORSCOM	Egypt
OAE	Omni Air International	OMNI-EXPRESS	United States
OAF		AUSTRAIN AMBULANCE	
OAI		TORLINE	
OAL	Olympic Air	OLYMPIC	Greece
OAN		OTAN	
OAO	Arkhangelsk 2 Aviation Division	DVINA	Russia
OAP	COAPA AIR	COAPA	Mexico
OAR	ONE AIR	BOSS AIR	Spain
OAS		ORYX	
OAT		DRILLER	
OAU		ORAVIA	
OAV	Omni - Aviacao e Tecnologia	OMNI	Portugal
OAW	Helvetic Airways	HELVETIC	Switzerland
OBA	Aerobanana	AEROBANANA	Mexico
OBI		AMEDAIR	
OBJ		OBJETIVO	
OBK	Amako Airlines	AMAKO AIR	Nigeria
OBM		OBSHEMASH	
OBS		ORBEST	
OBT		COSMIC GIRL	
OCA	Aserca Airlines	AROSCA	Venezuela
OCE	Heliocean	HELIOCEAN	France
OCF		EXPLORER	
OCL		OVERNIGHT	
OCM		O'CONNOR	
OCN	O Air	O-BIRD	France
OCO	Ostend Air College	AIR COLLEGE	Belgium
OCR		OCEAN AIR	
OCS	Ocean Sky (UK)	OCEANSKY	United Kingdom
OCT		OCTAVIA	
OCW		OCEAN AIRWAYS	
ODB		SERVAIR	
ODI		ODINN	
ODM		JETAFRICA	
ODR		QUADRO	
ODS	Odessa Airlines	ODESSA AIR	Ukraine
ODY	Odyssey International	ODYSSEY	Canada
OEA	Orient Thai Airlines	ORIENT THAI	Thailand
OEC	Christophorus Flugrettungsverein	CHRISTOPHORUS	Austria
OED	Orion Air Charter	ORION CHARTER	South Africa
OEG		ORIENTEAGLE	
OEL		PARTNER	
OES	ART Aviation	ART AUSTRIA	Austria
OEW		DREAMER	
OFA	Helitaxi Ofavi	OFAVI	Mexico
OFF	Challenge International Airlines	CHALLENGE AIR	United States
OFL		OPEN FLIGHT	
OFY		AEROSOF	
OGA		OASIS AIR	
OGE		ATLASJET	
OGI	Aerogisa	AEROGISA	Mexico
OGJ	Bakoji Airlines Services	BAKO AIR	Nigeria
OGN	Origin Pacific Airways	ORIGIN	New Zealand
OHA		AIR ODON	
OHC		OHIO-CHARTER	
OHK		OASIS	
OHS		ODENGENE	
OHY	Onur Air	ONUR AIR	Turkey
OHY	Onur Air	ONUR	Turkey
OIR		SLOVAIR	
OIX	Orion-x	ORIONIX	Russia
OJA		PEARL	
OJF		OCCITANIA	
OJO		OHJOH	
OJT		ORYSTAR	
OJY	Florida Air	OHJAY	United States
OKA	Okay Airways	OKAYJET	China
OKC		THUNDER WINGS	
OKJ	Okada Airlines	OKADA AIR	Nigeria
OKL	Oklahoma Department of Public Safety	OKLAHOMA	United States
OKP	Okapi Airways	OKAPI	Democratic Republic of Congo
OKS	Slok Air Gambia	SLOK GAMBIA	Gambia
OKT	Soko Aviation	SOKO AIR	Spain
OLA	Overland Airways	OVERLAND	Nigeria
OLC	Solar Cargo	SOLARCARGO	Venezuela
OLD		AIR ORENDA	
OLE	Operadora de Lineas Ejecutivas	OPERADORA	Mexico
OLL		MINMEX	
OLO	Soloflight	SOLO	United Kingdom
OLR	Colaéreos	COLAEREOS	Ecuador
OLS		FLIGHT SOL	
OLT	OLT Express Germany	OLTRA	Germany
OLV	Aerolíneas Olve	OLVE	Mexico
OLX	Olimex Aerotaxi	OLIMEX	Czech Republic
OLY	Olympic Aviation	OLAVIA	Greece
OMA	Oman Air	OMAN AIR	Oman
OMB		OMNIBLU	
OMF	Omniflys	OMNIFLYS	Mexico
OMG	Aeromega	OMEGA	United Kingdom
OMI		OMNI AIR	
OML	Organizacoes Mambra	MAMBRA	Angola
OMN	Servicios Aereos Ominia	SERVIOMNIA	Mexico
OMR	Minair	ORMINE	Central African Republic
OMS	SalamAir	MAZOON	Oman
ONA		YEONGNAM AIR	
OND		CONDOMETT	
ONE	Avianca Brazil	OCEAN AIR	Brazil
ONG	Sonnig SA	SONNIG	Switzerland
ONO		NORAERO	
ONR		EDER	
ONS	One Airlines	AIR DREAMS	Chile
ONT	Air Ontario	ONTARIO	Canada
ONX		ONIXAIR	
OOE		AIR OPS	
OOM		ZOOM	
OOT	Out Of The Blue Air Safaris	OOTBAS	South Africa
OPC	Krystel Air Charter	OPTIC	United Kingdom
OPE		PONTOISAIR	
OPJ		OPERA JET	
OPL		AIR OPALE	
OPM		OPTIMA	
OPN		OPENAIR	
OPS		OPS-JET	
OPT	Flight Options	OPTIONS	United States
OPV	Operadora de Veulos Ejectutivos	OPERADORA DE VUELOS	Mexico
ORA	Long Island Airlines	LONG ISLAND	United States
ORB	Orenburg Airlines	ORENBURG	Russia
ORC		ORIENTAL BRIDGE	
ORD	Orange Air Services	ORANGE SERVICES	Sierra Leone
ORE	Orange Aviation	ORANGE AVIATION	Israel
ORF	Oman Royal Flight	OMAN	Oman
ORG		ORENAVIA	
ORH		ORSHA	
ORI		ORION AIR	
ORJ	Orange Air Sierra Leone	ORANGE SIERRA	Sierra Leone
ORK	Orca Air	ORCA TAXI	Egypt
ORL	On Air Limited	ON AIR	Canada
ORM	Orel State Air Enterprise	ORPRISE	Russia
ORN	Orange Air	ORANGE JET	United States
ORN	Orient Airways	ORIENT LINER	Pakistan
ORO	C N Air	CAPRI	Spain
ORP	Aerocorp	CORPSA	Mexico
ORR	Operadora Turistica Aurora	TURISTICA AURORA	Mexico
ORS		AVIATION SERVICE	
ORT	Ortac AOC	SKYWALKER	Jersey
ORX	Orbit Express Airlines	OREX	Turkey
ORZ	Zorex	ZOREX	Spain
OSA		ROSTRA	
OSB		OSOB	
OSD		SECDEF	
OSH	Osh Avia	OSH AVIA	Kyrgyzstan
OSI		AEROSI	
OSJ		OSCARJET	
OSL	Sosoliso Airlines	SOSOLISO	Nigeria
OSN	Aerosan	AEROSAN	Mexico
OSO		AEROSORNO	
OSS	Servicios Aéreos Noticiosos	NOTICIOSOS	Mexico
OST	Airline Alania	ALANIA	Russia
OSU	Ohio State University	SCARLET	United States
OSV		IRAIR	
OSW		BEVO	
OSY	Open Skies Consultative Commission	OPEN SKIES	United States
OTA	Business Aviators	OUTLAW	United States
OTA	Organizacion De Transportes Aéreos	ORGANIZACION	Mexico
OTC		AIR TRAVEL	
OTE		OCTANE	
OTF	Orange2Fly	ORANGESKY	Greece
OTG	One Two Go Airlines	THAI EXPRESS	Thailand
OTJ		TENDER AIR	
OTK		ON TRACK	
OTL	South Airlines	SOUTHLINE	Ukraine
OTM	Onetime Airlines Zambia	ZEDTIME	Zambia
OTN	LASTP	LASTP	São Tomé and Príncipe
OTO		OTO	
OTP	Operadora de Transportes Aéreos	OPERADORA AEREO	Mexico
OTR	Orient Airlines	ORIENTROC	Sudan
OTS		TRESALIA	
OTX		ZOTEX	
OUA		QUEST AFRICAN	
OUF		ELEMENT	
OUL		CITY EXPRESS	
OUR		MEXITOUR	
OVA	Aero Nova	AERONOVA	Spain
OVD		RUSSIA CORP	
OVE	Aeromover	AEROMOVER	Mexico
OVI	Aerovías Ejecutivas	VIAS EJECUTIVAS	Mexico
OVV	Orient Air	ORIENTSYR	Syrian Arab Republic
OWE	Owenair	OWENAIR	South Africa
OWL	Miami Valley Aviation	NIGHT OWL	United States
OWN	Aero Owen	AERO OWEN	Mexico
OWR		AIR CROWN	
OWS		CARGOSUR	
OWT		BRASIL CARGO	
OXE	Oxaero	OXOE	United Kingdom
OXF		OXFORD	
OXM		ORION MALTA	
OXO	Million Air	MILL AIR	United States
OXS		OXUS AIRWAYS	
OYC		CONAIR	
OYE	Koda International	KODA AIR	Nigeria
OZA		OZARK	
OZB		ZONA BLAVA	
OZG		ZORI CARGO	
OZJ	Ozjet Airlines	AUSJET	Australia
OZT		OZARK TECH	
OZU	Hozu-Avia	HOZAVIA	Kazakhstan
OZW	Virgin Australia Regional Airlines	VELOCITY	Australia
PAA	Pan American World Airways	CLIPPER	United States
PAB	Pacific Air Boats	AIR BOATS	Canada
PAC	Polar Air Cargo	POLAR	United States
PAD	Professional Express Courier Service	AIR PROFESSIONAL	United States
PAE	Paisajes Españoles	PAISAJES	Spain
PAF		PATHFINDER	
PAG	Perimeter Aviation	PERIMETER	Canada
PAH	Panorama Air Tour	LANI	United States
PAI	Paradise Airways	SEA RAY	United States
PAJ	Aliparma	ALIPARMA	Italy
PAK	Pacific Alaska Airlines	PACIFIC ALASKA	United States
PAL	Philippine Airlines	PHILIPPINE	Philippines
PAM	Phoenix Air	PHOENIX	Germany
PAO	Polynesian Airlines	POLYNESIAN	Samoa
PAP	Langtry Flying Group	PROFLIGHT	United Kingdom
PAQ	Pacific Air Express	SOLPAC	Solomon Islands
PAR	Pacific Rim Airways	PACRIM	Australia
PAS	Pelita Air Service	PELITA	Indonesia
PAT	Priority Air Transport	PAT	United States
PAU		PALAUAIRWAYS	
PAV	VIP Avia	NICOL	Kazakhstan
PAW	Pointair Burkina	POINTAIR BURKINA	Burkina Faso
PAX	Pan Air	PANNEX	United States
PAY		ARPA	
PAZ	Point Afrique Niger	POINTAIR NIGER	Niger
PBA	PB Air	PEEBEE AIR	Thailand
PBB	Polizeihubschrauberstaffel Brandenburg	ADEBAR	Germany
PBC		PABA	
PBD	Pobeda	POBEDA	Russia
PBF		PENN-FOREST	
PBI		BLUEBIRD	
PBL		PELIKAN LINE	
PBN	Pacific Blue	BLUEBIRD	New Zealand
PBO		AERO CABOS	
PBR	Fast Air	POLAR BEAR	Canada
PBS		DI AIR	
PBT	Air Parabet	PARABET	Bangladesh
PBU	Air Burundi	AIR-BURUNDI	Burundi
PBW	Polizeihubschrauberstaffel Baden-Württemberg	BUSSARD	Germany
